run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
149,2000,25,5,0.3,True,0.3,0.25,22950,7650,0.02799732683001231,0.015410841338454436,0.42724891463255077,0.9228758169934641,47.75988793373108
150,2000,30,10,0.3,False,0.225,0.15,25749,4545,0.023390080391350553,0.014081136216572528,0.4486339505559742,0.9375137513751375,46.294235706329346
151,2000,30,3,log2,True,0.35,0.15,26219,4628,0.03417668030034908,0.017084258766673178,0.4268706343263532,0.9081676750216076,57.79559016227722
152,1000,30,10,0.3,False,0.25,0.25,22812,7605,0.02594825414680681,0.015235851995081349,0.4095595527691305,0.9342537804076265,20.32601499557495
153,2000,15,7,log2,True,0.3,0.1,27540,3060,0.028140102642190096,0.015971640263523393,0.41118142551728276,0.9395424836601307,40.44057512283325
154,500,15,5,sqrt,True,0.2,0.2,24072,6019,0.022722924570931464,0.014426395462755072,0.4213159093159109,0.9320485130420335,9.1183340549469
155,1000,30,3,0.7,True,0.35,0.1,27762,3085,0.03394008643658716,0.017054337293343654,0.4723567519974571,0.9059967585089141,54.04661512374878
156,2000,20,1,log2,False,0.2,0.2,24072,6019,0.021905181353220726,0.013486637268994378,0.46221733960149325,0.9159328792158166,63.25963616371155
157,500,15,2,0.5,False,0.25,0.15,25854,4563,0.025388115085514116,0.01513349523275911,0.426583127447244,0.9300898531667763,15.76643705368042
158,2000,None,10,0.3,True,0.2,0.15,25577,4514,0.022344822122544652,0.013808570090637372,0.43927535637685033,0.9306601683650864,46.279470920562744
159,2000,40,1,0.7,False,0.35,0.15,26219,4628,0.034617014975042694,0.017502581322534693,0.41200701980776666,0.8707865168539326,145.747483253479
160,1500,20,2,log2,False,0.25,0.2,24333,6084,0.02519574396107988,0.01459940037518806,0.43562339346060486,0.9270216962524654,38.198683977127075
161,500,50,5,0.5,False,0.225,0.15,25749,4545,0.022985452760827054,0.013660880803749727,0.46754523570586526,0.9236523652365236,17.932904958724976
162,1500,40,3,sqrt,True,0.2,0.25,22568,7523,0.02204439596800665,0.013514690132190053,0.45917047040996906,0.9072178652133457,37.543408155441284
163,2000,30,1,0.7,True,0.35,0.1,27762,3085,0.034244358218847276,0.01736717538630757,0.46285373550430586,0.8781199351701783,144.70456171035767
164,1500,20,10,sqrt,False,0.25,0.2,24333,6084,0.025909252364079018,0.015280343858988488,0.40320607520688756,0.938198553583169,27.92498803138733
165,1500,15,5,0.4,True,0.25,0.2,24333,6084,0.025893355824629972,0.015323146328864187,0.4039381725818819,0.9386916502301118,35.27760410308838
166,500,50,2,0.6,False,0.225,0.2,24235,6059,0.023267581354793836,0.01389526429406658,0.46111938296629074,0.900808714309292,24.121788024902344
167,1500,None,10,0.4,True,0.3,0.1,27540,3060,0.027572185250868835,0.015290591673057992,0.43470841232873914,0.9352941176470588,42.485161781311035
168,1000,None,5,log2,True,0.25,0.25,22812,7605,0.025634813674776775,0.014858244291641273,0.4237377839996592,0.925180802103879,21.45340585708618
169,500,15,3,0.5,True,0.25,0.25,22812,7605,0.025993404528023855,0.015388633856832607,0.4075030132937172,0.9300460223537147,13.290472984313965
170,1500,20,10,0.3,True,0.35,0.1,27762,3085,0.03590426716395772,0.01812766633103763,0.4095180443325718,0.9322528363047001,36.49426770210266
171,2000,15,2,sqrt,False,0.225,0.15,25749,4545,0.023537424652756177,0.014393227616753866,0.4416654829904615,0.941034103410341,42.93451690673828
