run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed
169,500,15,3,0.5,True,0.25,0.25,2202,735,0.040088785077327826,0.02770224284227457,0.29606229497349945,0.8884353741496599,1.6941440105438232
170,1500,20,10,0.3,True,0.35,0.1,2817,314,0.061973830170012095,0.037892244645306696,0.336694227452088,0.9140127388535032,5.2899298667907715
171,2000,15,2,sqrt,False,0.225,0.15,2452,433,0.038017938210803306,0.026821945621292156,0.32617851226763783,0.8683602771362586,5.978837966918945
172,2000,25,1,sqrt,False,0.2,0.25,2103,701,0.03417145875480944,0.024477504555621976,0.3266061157311684,0.8373751783166904,8.593859910964966
173,1500,25,10,0.5,True,0.35,0.1,2817,314,0.0619192852091689,0.03767333587379246,0.3378613028374461,0.9171974522292994,5.983242750167847
174,1500,25,10,0.3,True,0.225,0.2,2308,577,0.037753873856609534,0.026828376067042865,0.3108397421335549,0.8960138648180243,3.9277429580688477
175,500,30,2,log2,False,0.2,0.2,2243,561,0.03395088228208338,0.024006631983629373,0.35101669991438855,0.8484848484848485,1.8343000411987305
176,2000,20,7,sqrt,False,0.25,0.2,2349,588,0.03987042702351124,0.027675865434949317,0.3078166911417922,0.9149659863945578,5.023930788040161
177,500,25,7,sqrt,True,0.225,0.2,2308,577,0.037731030582250476,0.026910909352383897,0.31167345335975505,0.8838821490467937,1.1790518760681152
178,500,15,7,0.7,False,0.3,0.25,2262,755,0.04477168772231037,0.029352640435868976,0.35168407927823997,0.909933774834437,2.185598134994507
179,1000,25,5,sqrt,True,0.3,0.1,2715,302,0.040585809518675665,0.026642522997269442,0.40517837056762684,0.9105960264900662,2.783818006515503
180,1000,30,7,0.3,False,0.3,0.15,2564,453,0.04184719856881618,0.027715074518943728,0.36921903896329455,0.9028697571743929,2.8960211277008057
181,1500,15,1,0.7,False,0.35,0.1,2817,314,0.059804420482432355,0.03667861954398792,0.382319808443606,0.8949044585987261,10.78052806854248
182,1500,None,10,0.5,False,0.25,0.2,2349,588,0.03994551003193813,0.02783747707754897,0.30520723122155824,0.9149659863945578,5.443867206573486
183,500,30,5,0.4,True,0.225,0.1,2596,289,0.03626774545001697,0.025728769782438664,0.30076898199917934,0.8788927335640139,1.9442481994628906
184,2000,30,3,0.5,True,0.3,0.1,2715,302,0.04176067205370115,0.02749933407305457,0.37024259174244123,0.8841059602649006,11.064610958099365
185,1500,15,1,0.7,True,0.35,0.2,2504,627,0.0617676538845308,0.03651798098386984,0.3070813724222312,0.8771929824561403,7.699923992156982
186,1000,50,7,0.6,True,0.2,0.25,2103,701,0.03433875166079185,0.02474241935071047,0.31999651909553406,0.8873038516405135,3.656346082687378
187,1000,50,3,0.6,False,0.25,0.2,2349,588,0.04029696970198375,0.02795935795058032,0.29292720804106676,0.8792517006802721,4.238687992095947
188,2000,15,2,log2,False,0.35,0.25,2348,783,0.06115766628391144,0.03672243470906293,0.291274429598138,0.8939974457215837,5.921344995498657
189,500,50,1,log2,False,0.25,0.15,2496,441,0.04127851657011556,0.028135663613881673,0.2557121716471603,0.8503401360544217,2.750196933746338
